,Publication Number,Title,Country Code,Filing Date,International Classification,Application Number,Applicant,Inventor,Description
10,219505628,Gold stamping equipment for paper pulp molded product,CN,11.08.2023,B41F 16/00,202320760482.5,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",LIAN YANGYONG,"The utility model provides a paper pulp molded product gold stamping device. The paper pulp molded product gold stamping device comprises a fixing mechanism. And the multiple gold stamping mechanisms are installed on the fixing mechanism in a sliding mode. The fixing mechanism comprises a workbench, a first sliding groove, a second sliding groove, a third sliding groove and a fourth sliding groove are formed in the upper end face of the workbench, and the four sliding grooves are located in the periphery of the upper end face of the fixing mechanism. The four gold stamping mechanisms are slidably mounted in the first sliding groove, the second sliding groove, the third sliding groove and the fourth sliding groove correspondingly. The fixing mechanism further comprises an installation support, a fifth sliding groove is formed in the lower end face of the installation support, and the gold stamping mechanism is installed in the fifth sliding groove in a sliding mode. The multi-face gilding device is easy to operate, multi-face gilding can be carried out by arranging a plurality of gilding mechanisms, and the gilding efficiency and quality are improved. And each gold stamping mechanism is independently driven, so that the flexibility and applicability of the gold stamping equipment are improved."
11,113308946,Method for reducing thermal forming period of paper pulp molded product,CN,27.08.2021,D21J 3/00,202110460226.X,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",XU KUN,"The invention provides a method for reducing the thermal forming period of a paper pulp molded product, which comprises the following steps: S100, adding a thermal superconducting material in a paper-plastic mold area with the wall thickness exceeding that of other positions, so that paper pulp in a paper-plastic mold is uniformly heated; s200, on the basis that the number of air holes of the paper-plastic mold is reduced, adopting a CAE simulation technology, constructing a hot-pressing model of the paper-plastic mold, optimizing the air hole arrangement positions in an auxiliary mode through analysis of the hot-pressing model, and applying the paper-plastic mold with the optimized air hole arrangement positions for a paper pulp molded product thermal forming process; and S300, in the thermal forming process of the paper pulp molded product, pumping and draining water vapor in an intermittent vacuumizing mode. According to the invention, the temperature balance can be kept in the thermal forming process of the paper pulp molded product, the evaporation of water vapor is accelerated, and the production efficiency is improved."
12,211494832,All-pulp molding barrel-shaped packaging box,CN,15.09.2020,B65D 1/36,201922243021.7,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHE DALI,"The utility model relates to the technical field of tea packaging boxes. The utility model discloses a packaging box, and discloses an all-paper-pulp molding barrel-shaped packaging box. The problemsthat an existing tea packaging metal box is poor in environment-friendly performance; process complexity, buffering performance difference, edges and corners are not smooth; and the cost is relativelyhigh. The device comprises a lower cover, a lower inner support, an upper cover and an upper inner support, through the arrangement of the lower cover, the lower inner support, the upper cover and the upper inner support, the lower inner support is bonded in the lower cover, the upper inner support is bonded in the upper cover, and the upper inner support covers the lower inner support after assembly, so that the whole product is round and smooth in appearance, and the structure is convenient to assemble; the novel product is good in environment-friendly effect, the materials used for full pulp molding are completely degradable pulp environment-friendly materials such as bamboo pulp, wood pulp and sugarcane pulp, treatment is easy, the degradation speed is high, the environment cannot bepolluted, the forming process is simple, full pulp molding can be integrally formed, and then rotary edge cutting and bonding are only needed."
13,110978640,Full-automatic feeding equipment of pulp molded product side cutting machine,CN,10.04.2020,B31D 5/00,201911286472.7,"WINGFAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHEN CAIJIAN,"The invention discloses full-automatic feeding equipment of a pulp molded product side cutting machine. The problems that during cutting of an existing side cutting machine, products are manually put,potential safety hazards exist, and meanwhile the speed of manual putting is low are solved. The full-automatic feeding equipment comprises a mounting box. A full tray assembly line and an empty trayassembly line are arranged on the two sides of the mounting box correspondingly, the top of the mounting box is fixedly connected with a mounting frame, a rotary cutter is fixedly mounted at the bottom of the inner side of the mounting frame, a fixing plate is fixedly mounted on the upper portion of one end of the inner side of the mounting frame, a transverse moving plate is mounted on the innerside of the fixing plate, a control mechanism and vertical moving plates are mounted on the moving plate, and grabbing mechanisms are mounted on the vertical moving plates. According to the full-automatic feeding equipment of the pulp molded product side cutting machine, feeding can be effectively carried out at a uniform speed, people are prevented from making contact with the side cutting machine in the feeding process, thus, the cutting safety is guaranteed, and the cutting efficiency is effectively improved."
14,219748293,Special punching machine for paper pulp molded products,CN,26.09.2023,B26F 1/40,202320600017.5,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",LI HAIXIA,"The utility model provides a special punching machine for paper pulp molded products, which is characterized by comprising a workbench, the placement unit is mounted on the upper end face of the workbench, and a punching groove is formed in the placement unit; and the punching unit is vertically aligned with the punching groove. The punching device is simple in structure and small in equipment size, through cooperation of the punching groove and the punching unit, the product to be punched can be precisely punched through the punching unit, and the punching precision and quality are improved."
15,212501465,Full-paper pulp molding folding type packaging box,CN,09.02.2021,B65D 1/36,201922119472.X,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHE DALI,"The utility model discloses a full paper pulp molding folding type packaging box which is mainly composed of a shell, an upper cover and a lower cover, a product pocket is integrally formed in the upper cover and/or the lower cover, and the product pocket is a clamping position integrally formed according to the shape of a contained product. A male buckle and a female buckle are integrally formedin the upper cover and the lower cover, and meshing fastening is achieved through cooperation of the male buckle and the female buckle. The full-paper pulp molding folding type packaging box is integrally formed, is environment-friendly and attractive, and has good positioning performance and buffering performance."
16,217075239,Paper-plastic packaging box,CN,29.07.2022,B65D 25/02,202220769576.4,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SHI AOFEI,"The utility model provides a paper-plastic packaging box which comprises a box body, a box cover, a box cover and a box cover, one side face of the box body is provided with an opening, and the box body and the opening side face of the box body jointly form a containing groove. The edge of one side wall of the cover body is rotationally connected with the edge of one side wall of the box body on the opening side of the box body; the supporting pieces comprise a first supporting piece and a second supporting piece which are arranged on the outer sides of the side walls of the bottoms of the box body and the cover body respectively; wherein the bottom surface of the first supporting piece and the bottom surface of the second supporting piece are located on the same plane, an included angle which is not equal to 90 degrees is formed between the side wall of the bottom of the box body and the horizontal plane and between the side wall of the bottom of the cover body and the horizontal plane, and the paper-plastic packaging box is environmentally friendly and meets the standing requirement."
17,219157296,Special-shaped press-fit jig for paper pulp molded product,CN,09.06.2023,D21J 3/00,202320288388.4,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",MA CHONG,"The utility model relates to the field of paper pulp molded product production, in particular to a paper pulp molded product special-shaped pressing jig which comprises an upper die and a lower die which are spliced with each other, the face, facing the lower die, of the upper die is an upper die curved face protruding outwards, and the face, facing the upper die, of the lower die is a lower die curved face recessed inwards. The inward concave radian of the lower die curved surface is matched with the outward convex radian of the upper die curved surface, the upper die curved surface and the lower die curved surface are provided with a connecting structure used for splicing the upper die and the lower die, the connecting structure comprises a convex block and a groove, the convex block is arranged close to the edge of the upper die curved surface, and the groove is located in the lower die curved surface and corresponds to the convex block in position. According to the paper pulp shaping device, paper pulp molding with small curved surface radian can be effectively shaped, so that the paper pulp molding has effective curved surface radian and curvature, and the effects of higher shaping efficiency and higher yield are achieved."
18,211494831,All-pulp molding combined packaging box,CN,15.09.2020,B65D 1/36,201922080213.0,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SU XIANKAI,"The utility model belongs to the technical field of wine packaging, and discloses an all-pulp molding combined type packaging box which comprises a flat plate, a lower cover, an upper inner cover andan upper cover, and a product containing cavity is formed between the lower cover and the upper inner cover. The flat plate and the lower cover are buckled into a whole, and a lower buffering gap is formed between the flat plate and the lower cover. The upper inner cover and the upper cover are buckled into a whole, and an upper buffer gap is formed therebetween. The upper buffer gap and the lowerbuffer gap enable the product to have good shock resistance and buffer performance, and energy can be absorbed to protect the product in the processes of transportation, falling and the like; the flat plate, the lower cover, the upper inner cover and the upper cover are all integrally formed by pulp molding, thereby being environment-friendly and pollution-free."
19,111098556,"Automatic glue spraying, compounding and packing integration device of molded pulp",CN,05.05.2020,B31F 5/04,201911380246.5,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHEN CAIJIAN,"The invention discloses an automatic glue spraying, compounding and packing integration device of molded pulp, and specifically relates to the technical field of mechanical automation. The device comprises an upper cover flow line, a lower cover flow line, a glue dispensing system and a pressing system. Through the separate design of the upper cover flow line and the lower cover flow line, the mixed placing phenomenon of placing two products on one flow line in the prior art is effectively prevented. The device manufactures a paper pulp combined product with a smooth outer surface; the productis finally molded through the glue dispensing and pressing process; the fit degree between an upper cover and a lower cover is guaranteed through the prepressing design to prevent the pressing layering problem caused by weak overlap degree of the product; the human resources are greatly saved; the working efficiency is greatly improved; higher actual application value is achieved; and the popularization is convenient."
20,2014624,"Method for manufacturing a moulded fiber product, such as an egg packaging, from a biomass material of plant origin, and such moulded fiber product.",NL,14.10.2016,D21J 3/00,2014624,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The present invention relates to a method for manufacturing a mould fiber product, such as an egg packaging, from a biomass material of plant origin and such moulded fiber product. The method according to the invention comprises the steps of: providing a biomass with biomass fibers to a reactor; preparing a slurry comprising the biomass fibers; adding an amount of enzymes to the slurry and performing enzymatic fibrillation of the fibers and/or protein removal; and performing a moulding operation with the slurry comprising the fibrillated fibers to manufacture the moulded fiber product."
21,113909560,Groove broaching device for molded pulp suction mold,CN,11.01.2022,B23D 41/04,202111094649.0,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",WANG JIAN,"The invention discloses a groove broaching device for a molded pulp suction mold. The groove broaching device comprises a groove broaching mechanism, the groove broaching mechanism is arranged on a CNC machine head, the groove broaching mechanism comprises a clamp module, a plurality of tool rest modules and a plurality of groove broaching tools, the clamp module is arranged on the CNC machine head, the multiple tool rest modules are all arranged at the bottom of the clamp module, and the groove broaching tools are arranged on the tool rest modules and used for conducting groove broaching treatment on the surface of the mold. The clamp module is installed on the CNC machine head, then a CNC machining center is started, the groove broaching mechanism is installed on the CNC machine head, the rotating function of a machine tool spindle of the CNC machining center is shielded, and the surface of the mold can be subjected to slotting machining in an up-down moving mode through the three-axis linkage function of a machine tool; and meanwhile, the multiple tool rest modules and the multiple groove broaching tools are designed in the groove broaching mechanism so that grooves in other directions of the mold can be machined without rotating the mold when the mold is machined, and the working efficiency of CNC machining is improved."
22,219615950,Glue spraying device for paper pulp molded product,CN,01.09.2023,B05C 5/02,202320696333.7,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",HUANG MIN,"The utility model provides a glue spraying device for a paper pulp molded product. The glue spraying device comprises a fixing mechanism, the moving mechanism is in sliding connection with the fixing mechanism; and the multiple glue spraying mechanisms are installed on the moving mechanism in a sliding mode, and the moving mechanism drives the glue spraying mechanisms to move. A first sliding groove is formed in the fixing mechanism, and the moving mechanism moves left and right along the first sliding groove. A second sliding groove is formed in the moving mechanism, and the glue spraying mechanism moves up and down along the second sliding groove; a third sliding groove is further formed in the upper end face of the workbench of the fixing mechanism, and the product containing table moves front and back along the third sliding groove. By arranging a plurality of glue spraying mechanisms, the glue spraying time consumption can be greatly reduced, and the working efficiency of the glue spraying device is improved; in addition, through cooperation of a first sliding groove, a second sliding groove and a third sliding groove, the glue spraying device can move up and down, left and right and front and back, and the overall flexibility and the glue spraying quality are improved."
23,113551609,Photoelectric sensing device for overpressure and gap monitoring of paper pulp molded product mold,CN,26.10.2021,G01B 11/14,202110532214.3,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",FEI GUOZHONG,"The invention provides a photoelectric sensing device for overpressure and gap monitoring of a paper pulp molded product mold. The photoelectric sensing device is applied to a forming machine, an upper mold and a lower mold are arranged on the forming machine, and the photoelectric sensing device comprises a gap monitoring device arranged on the upper mold and used for monitoring a mold closing gap value when the upper mold and the lower mold are closed; a control box and a display screen, both arranged on the forming machine, and the control box being electrically connected with the gap monitoring device and the display screen. By obtaining the mold closing gap value, analyzing an abnormal data signal, feeding back the abnormal data signal to the PLC control module of the forming machine, and displaying the abnormal data signal on the display screen in a digital display mode, the microscopic gap state of the mold in the time period from mold closing to pressurization can be known conveniently according to the trend change of the mold closing gap value; and reference and analysis on data are conveniently provided, predictable production deficiency is prevented, the mold production and maintenance cost is reduced, and the production activation is indirectly improved."
24,211256495,Pulp molding product mold heating device and molding mold and equipment thereof,CN,14.08.2020,D21J 3/00,201921300653.6,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHE DALI,"The utility model discloses a pulp molding product mold heating device which comprises a mold electric heating rod and a temperature control device, and the mold electric heating rod is installed in ahole reserved in a mold base plate and is parallel to the center line of a mold cavity. Meanwhile, the utility model further discloses a forming die and forming equipment using the die electric heating rod heating device. The mold electric heating rod heating device can accurately control the temperature of the mold, the temperature deviation is controlled within +/-3 DEG C, energy consumption isreduced, the size stability of a molded pulp product is guaranteed, product deformation is reduced, the finished product rate of the molded pulp product is increased, and the service life of the moldis prolonged."
25,3488047,METHOD FOR MANUFACTURING A FOAMED PACKAGING UNIT AND A PACKAGING UNIT FROM A FOAMED MATERIAL,EP,29.05.2019,D21J 3/00,17755273,HUHTAMAKI MOLDED FIBER TECH BV,KUIPER HARALD JOHN,"The invention relates to a method for manufacturing a foamed packaging unit and a packaging unit from a foamed material. The method according to the invention comprises the steps of: - preparing a foamed mouldable fiber material comprising a fiber material and a foaming agent; - moulding a raw packaging unit from the foamed mouldable fiber material, wherein the solid content of the raw packaging unit is above 35% by weight; and - in-mould drying the raw packaging unit to the foamed packaging unit."
26,2017405,Method for manufacturing a foamed packaging unit and a packaging unit from a foamed material,NL,31.01.2018,D21J 3/00,2017405,HUHTAMAKI MOLDED FIBER TECH BV,HARALD JOHN KUIPER,"The invention relates to a method for manufacturing a foamed packaging unit and a packaging unit from a foamed material. The method according to the invention comprises the steps 5 of: - preparing a foamed mouldable fiber material comprising a fiber material and a foaming agent; - moulding a raw packaging unit from the foamed mouldable fiber material, wherein the solid content of the raw packaging unit is above 35% by weight; and 10 - in-mould drying the raw packaging unit to the foamed packaging unit."
27,109736139,Molding equipment and method for paper pulp molding,CN,10.05.2019,D21J 3/00,201811635650.8,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SHEN CHAO,"The invention discloses molding equipment for paper pulp molding. The preparation sequence of a paper pulp molded product sequentially includes the following steps: sucking, by a pulp suction mold, pulp from a pulp tank to form a wet blank; arranging an extrusion mold above the pulp suction mold correspondingly, and preforming, by the pulp suction mold, primary extrusion on the wet blank with theextrusion mold after the wet blank is inverted upwards; moving, by a hot-pressing upper mold, up and down along the vertical direction; moving, by a hot-pressing lower mold, left and right along the horizontal direction, and when moving up and down corresponding to the hot-pressing lower mold, hot-pressing the wet blank; and arranging an air suction structure in the hot-pressing upper mold, and arranging an air blowing structure in the hot-pressing lower mold. The invention further discloses a molding method of the paper pulp molding. The method includes absorbing pulp, extruding, hot pressing, transferring, and after heating is completed, when the hot-pressing upper mold and the hot-pressing lower mold are separated, absorbing and transferring the molded product by the hot-pressing uppermold. According to the equipment and the method, the forming movement time of the equipment is reduced, and the cycle period for preparing the molded product by the equipment is improved."
28,209636555,Molding equipment for pulp molding,CN,15.11.2019,D21J 3/00,201822269202.2,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SHEN CHAO,"The utility model discloses forming equipment for paper pulp molding. The forming equipment sequentially comprises the following steps of: sucking pulp from a pulp pool by a pulp sucking mold to forma wet blank according to the preparation sequence of paper pulp molded products; the extrusion die is arranged above the slurry suction die correspondingly, and after the slurry suction die drives thewet blank to rotate upwards and reversely, the slurry suction die and the extrusion die extrude the wet blank for the first time; the hot-pressing upper die can move up and down in the vertical direction; the hot-pressing lower die can move left and right in the horizontal direction, and when the hot-pressing lower die moves to correspond to the hot-pressing lower die up and down, hot-pressing treatment is conducted on the wet blank; an air suction structure is arranged in the hot-pressing upper die, and an air blowing structure is arranged in the hot-pressing lower die. According to the utility model, the molding movement time of equipment is shortened, and the cycle period for preparing molded products by the equipment is prolonged."
29,218203616,Molded pulp ultrasonic fluidization pulp tank device,CN,03.01.2023,D21J 3/00,202221842212.0,"WING FAT (JIANGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",SHEN CHAO,"The utility model provides a paper pulp molding ultrasonic fluidization pulp tank device which comprises a molding device body, the molding device body comprises an upper cover plate and a base, an extrusion die is fixedly arranged on the upper cover plate, a pulp tank, an ultrasonic generator and a plastic uptake die assembly are arranged on the base, and the ultrasonic generator and the plastic uptake die assembly are arranged on the molding device body. A plurality of ultrasonic transducers are fixedly arranged at the bottom of the slurry tank, and the ultrasonic generator is electrically connected with the ultrasonic transducers. According to the utility model, the ultrasonic generator and the ultrasonic transducer are arranged, so that the slurry in the slurry tank can vibrate under the action of ultrasonic waves, the mixing of the slurry is more uniform, prepared wet blank fibers are smoother and softer, the uniformity of the slurry is effectively improved, and finally, the appearance of a product is more excellent."
30,111018159,Method for removing paper fibers in wastewater produced by pulp molding,CN,17.04.2020,C02F 9/02,201911380266.2,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",MING WENXI,"The invention discloses a method for removing paper fibers in wastewater produced by pulp molding. The method comprises the following steps: introducing the pulp production wastewater into a filter box with an inclined plug net for precipitation; introducing filtered pulp water into a floating bead dispersion system, adding a flotation agent into the paper pulp fiber suspension, carrying out stirring, and performing standing at room temperature to obtain a pretreated paper pulp fiber suspension; adding floating beads into the pretreated paper pulp fiber suspension to form a mixed suspension; and introducing the pulp water treated by an air floatation bed into the filter box with the inclined plug net, and conducting filtering again to obtain return water for storage. The invention providesa process for treating paper sewage; and the process can significantly improve the recovery rate of paper fibers and reduce environmental pollution."
31,211815188,Automatic material receiving device of pulp molding machine,CN,30.10.2020,D21J 3/00,201922485423.8,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",CHE DALI,"The utility model discloses an automatic material receiving device of a pulp molding machine, which comprises a frame main body, a carrying structure unit arranged at the upper part of the frame mainbody and comprising a carrying platform and an air suction structure arranged below the carrying platform; the lifting structure unit is arranged in the rack body and comprises a rack transverse guiderail and a rack longitudinal guide rail, and the carrying platform moves in the horizontal direction and the vertical direction through the transverse guide rail and the longitudinal guide rail. Thematerial receiving unit comprises a full tray feeding area and an empty tray discharging area, the material receiving unit is arranged on one side of the lifting structure unit, the side of the material receiving unit is opposite to the lower portion of the lifting structure unit, and feeding and discharging of material trays are achieved; and the edge cutting unit is arranged on one side of the carrying structure unit. The utility model aims to provide an automatic material receiving device which is safe and can improve the processing process of molded products."
32,215329043,Contact type overpressure monitoring device for mold of paper pulp molding product,CN,28.12.2021,D21J 3/00,202121044167.X,"WING FAT (JINAGSU) MOLDED FIBER PACKAGING TECHNOLOGY CO., LTD.",FEI GUOZHONG,"A contact type overpressure monitoring device for a mold of a paper pulp molded product is applied to a forming machine, an upper mold and a lower mold are arranged on the forming machine, and the contact type overpressure monitoring device comprises a gap monitoring device, a pressure monitoring device, an overpressure monitoring device, an overpressure monitoring device, an overpressure monitoring device, an overpressure monitoring device, an overpressure monitoring device, an overpressure monitoring device and an overpressure monitoring device, and the gap monitoring device is arranged on the upper mold and used for monitoring a mold closing gap value when the upper mold and the lower mold are closed; and the display screen is arranged on the forming machine, and the display screen is electrically connected with the gap monitoring device. The gap monitoring device comprises the contact type sensor, the die and equipment are highly combined through the arrangement of the contact type sensor, and therefore higher automatic operation efficiency is obtained, predictable production deficiency is prevented, the die production and maintenance cost is reduced, and the production utilization rate is indirectly improved."
33,WO/2016/130006,PACKAGING UNIT OF FOAMED MOULDED FIBER MATERIAL AND METHOD FOR MANUFACTURING SUCH PACKAGING UNIT,WO,18.08.2016,B65D 85/32,PCT/NL2016/050098,HUHTAMAKI MOLDED FIBER TECHNOLOGY B.V.,"KUIPER, Harald John","The present invention relates to a packaging unit (2) made of moulded pulp for products like eggs (P) and a method for manufacturing such packaging unit. The packaging unit according to the present invention comprises: - a carrier part (10) having a length, a width and a depth; and - one or more product compartments (48) that are provided in the carrier and are configured for receiving a product, wherein the moulded pulp comprises a foamed moulded fiber material, comprising a fiber material and a foaming agent, and having a solid content of the fiber material in the packaging unit abot 35% by weight."
